bank,bank_agents,bank_envs,environment_steps,greedy_action_disagreement,mean_entropy_delta_drtp_minus_utr,mean_entropy_drtp,mean_entropy_utr,mean_js_divergence,mean_total_variation,milestone,seed,seed_class,source_contract,status
paired_utr_500k_runtime_obs,3,4,8000000,0.8333333333333334,-0.02591993473470211,0.8244445323944092,0.8503645062446594,0.451528400182724,0.7310970425605774,8m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8500000,0.75,-0.2052697390317917,0.8135690689086914,1.0188387632369995,0.41179823875427246,0.7056341171264648,8500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9000000,0.75,-0.547307014465332,0.6817197203636169,1.2290266752243042,0.42933622002601624,0.7345375418663025,9m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9500000,0.9166666666666666,0.15565773844718933,0.9875855445861816,0.8319279551506042,0.41743049025535583,0.761127769947052,9500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,10000000,0.8333333333333334,-0.3354053795337677,0.7178804278373718,1.0532857179641724,0.41933250427246094,0.7064394354820251,10m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,500000,0.9166666666666666,-0.5389429330825806,2.345477342605591,2.884420394897461,0.15696100890636444,0.4626697301864624,500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1000000,0.9166666666666666,-0.0046145617961883545,2.0449485778808594,2.04956316947937,0.32041415572166443,0.6719694137573242,1m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1500000,0.8333333333333334,-0.23246224224567413,1.7812119722366333,2.01367449760437,0.2741154730319977,0.5952326655387878,1500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2000000,0.8333333333333334,-0.04172305390238762,1.7832293510437012,1.824952483177185,0.2791334390640259,0.6067277789115906,2m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2500000,1.0,0.0710669532418251,1.701140284538269,1.6300734281539917,0.36454716324806213,0.7364742755889893,2500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3000000,0.75,-0.062438588589429855,1.5176724195480347,1.5801111459732056,0.3018622398376465,0.642328679561615,3m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3500000,0.8333333333333334,0.1218145489692688,1.5266519784927368,1.4048374891281128,0.3491750657558441,0.6596349477767944,3500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4000000,1.0,-0.3100248873233795,1.2781331539154053,1.588158130645752,0.370928555727005,0.7166564464569092,4m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4500000,0.8333333333333334,0.12490015476942062,1.4219237565994263,1.2970236539840698,0.41367021203041077,0.7538668513298035,4500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5000000,0.9166666666666666,0.051066745072603226,1.249197006225586,1.1981301307678223,0.4088439643383026,0.7392104268074036,5m,2002,weak,heldout,estimated_from_archived_runtime_states
