scenario,graph_encoder,train_method,train_seed,method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
delay_5,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.0,5,0.0,-1,0,0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.65217391304348,0.0,0.0,0.0,46.0,14632.401048743206,4826.234375,41.136675745248795
delay_5,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.0,5,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,52.02127659574468,0.0,0.0,0.0,47.0,14505.090165807846,4681.08935546875,41.455808252096176
radar_010,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.0,0,0.1,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.37777778440051607,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14853.176746961806,5192.93505859375,39.31057125329971
radar_010,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.0,0,0.1,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.3636363690549677,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15106.367453835228,5713.12158203125,38.112102061510086
radar_010,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.0,0,0.1,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.43750000310440856,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14278.869496663412,4315.28173828125,42.06236943602562
radar_010,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.0,0,0.1,-1,0,0,True,1.0,1.0,1.0,0.028985508110212242,0.42028986111931177,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14644.868280825407,4885.525390625,40.727854907512665
radar_010,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.0,0,0.1,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4042553248557639,1.0,47.94326100450881,0.0,0.0,0.0,47.0,14505.02283494016,4680.84716796875,40.61517068743706
radar_025,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.0,0,0.25,-1,0,0,True,1.0,1.0,1.0,0.048611112559835114,0.31944444961845875,1.0,39.72222105662028,0.0,0.0,0.0,48.0,14199.675989786783,4002.954345703125,42.15187320113182
radar_025,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.0,0,0.25,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.28030303662473505,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15106.482621626421,5713.56494140625,36.522308737039566
radar_025,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.0,0,0.25,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.3541666716337204,1.0,41.52777655919393,0.0,0.0,0.0,48.0,14278.94233194987,4317.685546875,40.57155850529671
radar_025,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.0,0,0.25,-1,0,0,True,1.0,1.0,1.0,0.028985508110212242,0.36231884813827014,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14644.793520720108,4885.29248046875,39.46836245059967
radar_025,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.0,0,0.25,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.35460993584166184,1.0,47.94326100450881,0.0,0.0,0.0,47.0,14505.176227975398,4682.349609375,39.73486936092377
relay_failure,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.0,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.9259259270297157,42.5925913506084,0.0,0.0,0.0,45.0,14853.011859809028,5188.80029296875,39.61563491821289
relay_failure,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.0,0,0.0,1,40,80,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,0.93939394029704,47.42424104024064,0.0,0.0,0.0,44.0,15106.415693803267,5713.25927734375,38.55059105157852
relay_failure,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.0,0,0.0,1,40,80,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,0.8888888905445734,42.02777656043569,0.0,0.0,0.0,48.0,14278.808705647787,4315.26513671875,41.639163225889206
