method,training_contract,training_seed,condition,family,episodes,J,J_sd_episode_descriptive,collision,timeout,constraint_violation,failure_exposure_all_episodes,survival_to_onset_fraction,trigger_success_among_risk_set,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,path_switch_count
UTR-SG-MAPPO,T1_clean_development_1M,2202,U2_static_symmetric_direct_prune,structural_ood,50,186.89600541984663,26.09612158891448,0.0,0.72,0.0,0.0,0.0,nan,0.0,260.0,144847.46310302734,1070.98,0.0,0.0,0.0,0.0,52.68
UTR-SG-MAPPO,T1_clean_development_1M,2202,U3_static_directed_scout_to_attacker_prune,structural_ood,50,195.60061119526625,26.8532535098592,0.0,0.74,0.0,0.0,0.0,nan,0.0,260.0,144327.550881958,1102.22,0.0,0.0,0.0,0.0,45.66
UTR-SG-MAPPO,T1_clean_development_1M,2202,U4_scout_failure_symmetric_direct_prune,structural_ood,50,145.1328723866865,29.022656855962357,0.02,0.68,0.0,1.0,1.0,1.0,0.0,257.32,140908.45141845703,1115.26,0.0,0.35225,0.5017499999999998,0.99625,22.54
UTR-SG-MAPPO,T1_clean_development_1M,2202,U5_relay_failure_directed_direct_prune,structural_ood,50,175.96051628507675,25.476670830874326,0.0,0.6,0.0,1.0,1.0,1.0,0.0,260.0,143839.35132080078,1099.34,0.3529999999999998,0.0,0.4915,1.0,20.84
UTR-SG-MAPPO,T1_clean_development_1M,2202,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,149.671109168533,24.295463730800364,0.0,0.6,0.0,1.0,1.0,1.0,0.0,260.0,143001.71867431642,1120.44,0.35324999999999984,0.0,0.49074999999999996,1.0,19.88
UTR-SG-MAPPO,T1_clean_development_1M,2202,parameter_duration_44_140,parameter_ood,50,170.28839594511317,26.22811179550779,0.0,0.62,0.0,1.0,1.0,1.0,0.0,260.0,143680.78601257325,1085.36,0.46042857142857146,0.0,0.4778571428571429,1.0,36.8
UTR-SG-MAPPO,T1_clean_development_1M,2202,parameter_timing_20_80,parameter_ood,50,173.89601279467345,26.51648583882587,0.0,0.74,0.0,1.0,1.0,1.0,0.0,260.0,144305.2126574707,1081.38,0.3015,0.0,0.5170000000000001,0.9550000000000002,25.38
UTR-SG-MAPPO,T1_clean_development_1M,2202,reference_nominal,reference,50,199.39438785258682,30.12153689977976,0.0,0.84,0.0,0.0,nan,nan,0.0,260.0,144274.91729125977,1065.18,0.0,0.0,0.0,0.0,47.02
UTR-SG-MAPPO,T1_clean_development_1M,2202,seen_f0_44_80,seen_relay_failure,50,176.08104596227406,26.669913040308906,0.0,0.66,0.0,1.0,1.0,1.0,0.0,260.0,143338.5887738037,1079.28,0.40924999999999995,0.0,0.46149999999999997,1.0,22.88
UTR-SG-MAPPO,T1_clean_development_1M,2203,U1_scout_node_failure,structural_ood,50,76.35725571857765,14.65442967958654,0.12,0.88,0.0,1.0,1.0,1.0,0.0,248.28,141050.05671203614,1376.52,0.0,0.9299999999999998,0.11525,0.9982500000000001,7.08
UTR-SG-MAPPO,T1_clean_development_1M,2203,U2_static_symmetric_direct_prune,structural_ood,50,81.21852292448283,13.83461467140123,0.0,1.0,0.0,0.0,0.0,nan,0.0,260.0,149219.19965026857,1443.52,0.0,0.0,0.0,0.0,20.16
UTR-SG-MAPPO,T1_clean_development_1M,2203,U3_static_directed_scout_to_attacker_prune,structural_ood,50,90.58115004219115,13.08658589815583,0.0,1.0,0.0,0.0,0.0,nan,0.0,260.0,147232.6829046631,1419.36,0.0,0.0,0.0,0.0,20.4
UTR-SG-MAPPO,T1_clean_development_1M,2203,U4_scout_failure_symmetric_direct_prune,structural_ood,50,63.21341493666172,14.512444505971061,0.02,0.98,0.0,1.0,1.0,1.0,0.0,258.2,147435.83659729004,1451.74,0.0,0.9299999999999998,0.11525,0.9982500000000001,7.08
UTR-SG-MAPPO,T1_clean_development_1M,2203,U5_relay_failure_directed_direct_prune,structural_ood,50,51.93225527208298,5.434004411313322,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,148063.0494012451,1434.88,0.33275,0.0,0.019999999999999997,0.33825000000000005,3.44
UTR-SG-MAPPO,T1_clean_development_1M,2203,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,42.49138380803168,5.904055476886816,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,148988.0716558838,1451.94,0.33275,0.0,0.019999999999999997,0.33825000000000005,3.44
UTR-SG-MAPPO,T1_clean_development_1M,2203,parameter_duration_44_140,parameter_ood,50,50.11682342289016,7.920255265223962,0.08,0.92,0.0,1.0,1.0,1.0,0.0,250.12,143000.70949584962,1415.36,0.5910198579665622,0.0,0.04584855365921284,0.6069573474678666,6.16
UTR-SG-MAPPO,T1_clean_development_1M,2203,parameter_timing_20_80,parameter_ood,50,70.84861382787116,12.852721498548751,0.04,0.96,0.0,1.0,1.0,1.0,0.0,255.5,146802.80020996093,1436.1,0.040250000000000015,0.0,0.0045000000000000005,0.04350000000000001,9.26
UTR-SG-MAPPO,T1_clean_development_1M,2203,reference_nominal,reference,50,100.45141207492911,11.368275694285419,0.08,0.92,0.0,0.0,nan,nan,0.0,252.58,144353.1154711914,1402.42,0.0,0.0,0.0,0.0,31.68
UTR-SG-MAPPO,T1_clean_development_1M,2203,seen_f0_44_80,seen_relay_failure,50,58.006713025597854,9.770057395825711,0.1,0.9,0.0,1.0,1.0,1.0,0.0,247.84,141563.56662658692,1399.24,0.31975000000000003,0.0,0.06599999999999999,0.33825000000000005,5.36
UTR-SG-MAPPO,T1_clean_development_1M,2204,U1_scout_node_failure,structural_ood,50,100.14261394524016,13.323478692487363,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,153304.98421569823,1360.28,0.0,0.15175000000000002,0.5089999999999999,0.99875,6.04
UTR-SG-MAPPO,T1_clean_development_1M,2204,U2_static_symmetric_direct_prune,structural_ood,50,103.04098197221757,11.621949434832777,0.0,1.0,0.0,0.0,0.0,nan,0.0,260.0,154245.41657043458,1278.74,0.0,0.0,0.0,0.0,7.48
UTR-SG-MAPPO,T1_clean_development_1M,2204,U3_static_directed_scout_to_attacker_prune,structural_ood,50,111.75200760688632,11.452862758688791,0.0,1.0,0.0,0.0,0.0,nan,0.0,260.0,154301.44581115723,1293.28,0.0,0.0,0.0,0.0,7.44
UTR-SG-MAPPO,T1_clean_development_1M,2204,U4_scout_failure_symmetric_direct_prune,structural_ood,50,88.32880839498247,12.61013855849572,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,153814.1531591797,1243.18,0.0,0.15200000000000002,0.50475,0.9995,6.32
UTR-SG-MAPPO,T1_clean_development_1M,2204,U5_relay_failure_directed_direct_prune,structural_ood,50,99.37425393556245,20.515868795471977,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,152509.46741271974,1267.52,0.21875,0.0,0.4837499999999999,1.0,4.22
UTR-SG-MAPPO,T1_clean_development_1M,2204,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,91.1221324477729,20.02984168146804,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,152272.3442706299,1281.48,0.218,0.0,0.48649999999999993,1.0,4.18
UTR-SG-MAPPO,T1_clean_development_1M,2204,parameter_duration_44_140,parameter_ood,50,123.71329028627835,22.727723400372707,0.02,0.98,0.0,1.0,1.0,1.0,0.0,259.62,150606.66897216797,1305.76,0.27128571428571424,0.0,0.44657142857142856,1.0,5.9
UTR-SG-MAPPO,T1_clean_development_1M,2204,parameter_timing_20_80,parameter_ood,50,107.16208528353833,16.595296961434748,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,154278.03604003906,1325.18,0.15675000000000008,0.0,0.36500000000000005,0.9822500000000004,3.44
UTR-SG-MAPPO,T1_clean_development_1M,2204,reference_nominal,reference,50,123.80023051301949,14.66861928418757,0.0,1.0,0.0,0.0,nan,nan,0.0,260.0,153237.24879821777,1348.52,0.0,0.0,0.0,0.0,6.72
UTR-SG-MAPPO,T1_clean_development_1M,2204,seen_f0_44_80,seen_relay_failure,50,119.09133640252985,22.069385610466004,0.02,0.96,0.0,1.0,1.0,1.0,0.0,258.94,149902.23129882812,1313.76,0.18474999999999994,0.0,0.325,1.0,3.66
UTR-SG-MAPPO,T1_clean_development_1M,2205,U1_scout_node_failure,structural_ood,50,48.68367525935173,10.932123006086394,0.12,0.88,0.0,1.0,1.0,1.0,0.0,246.36,164342.6606616211,768.26,0.0,0.87575,0.004250000000000001,0.87625,1.0
UTR-SG-MAPPO,T1_clean_development_1M,2205,U2_static_symmetric_direct_prune,structural_ood,50,52.803434988064694,7.321560029138124,0.06,0.94,0.0,0.0,0.0,nan,0.0,256.36,168597.08488708496,739.56,0.0,0.0,0.0,0.0,1.0
UTR-SG-MAPPO,T1_clean_development_1M,2205,U3_static_directed_scout_to_attacker_prune,structural_ood,50,61.80540852306411,7.671534201570469,0.06,0.94,0.0,0.0,0.0,nan,0.0,256.36,168614.88213500977,677.34,0.0,0.0,0.0,0.0,1.0
UTR-SG-MAPPO,T1_clean_development_1M,2205,U4_scout_failure_symmetric_direct_prune,structural_ood,50,48.38315830673091,14.320572950983209,0.08,0.92,0.0,1.0,1.0,1.0,0.0,250.38,164692.40914367675,791.86,0.0,0.87575,0.004250000000000001,0.87625,1.16
UTR-SG-MAPPO,T1_clean_development_1M,2205,U5_relay_failure_directed_direct_prune,structural_ood,50,45.262601926405914,3.2152910985711567,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,172250.3418157959,740.62,0.5402500000000003,0.0,0.0,0.5402500000000003,3.0
