protocol,episode_id,condition,family,J,terminal_step,success,collision,timeout,constraint_violation,failure_exposed,alive_at_onset,failure_trigger_success,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,path_switch_count,method,training_contract,training_seed,checkpoint_sha256
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950046,reference_nominal,reference,89.98774071782827,260,0,0,1,0,0,0,,0,260,164408.06872558594,835.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950047,reference_nominal,reference,83.99634571559727,260,0,0,1,0,0,0,,0,260,162841.02383422852,796.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950048,reference_nominal,reference,89.42137003038079,260,0,0,1,0,0,0,,0,260,163589.00119018555,801.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950049,reference_nominal,reference,90.7728119622916,260,0,0,1,0,0,0,,0,260,163184.06091308594,794.0,0.0,0.0,0.0,0.0,23,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950000,seen_f0_44_80,seen_relay_failure,69.28226747363806,260,0,0,1,0,1,1,1,0,260,164186.01931762695,766.0,0.5125,0.0,0.4,0.5875,11,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950001,seen_f0_44_80,seen_relay_failure,64.16940448153764,260,0,0,1,0,1,1,1,0,260,163563.98223876953,812.0,0.525,0.0,0.3,0.55,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950002,seen_f0_44_80,seen_relay_failure,59.70380574837327,260,0,0,1,0,1,1,1,0,260,162672.05868530273,798.0,0.475,0.0,0.15,0.5125,9,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950003,seen_f0_44_80,seen_relay_failure,64.58189635723829,260,0,0,1,0,1,1,1,0,260,163361.98974609375,842.0,0.5125,0.0,0.3125,0.5375,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950004,seen_f0_44_80,seen_relay_failure,54.390154073014855,260,0,0,1,0,1,1,1,0,260,162947.9559326172,821.0,0.5125,0.0,0.2625,0.525,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950005,seen_f0_44_80,seen_relay_failure,69.02917499095201,260,0,0,1,0,1,1,1,0,260,164063.00482177734,831.0,0.575,0.0,0.4,0.5875,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950006,seen_f0_44_80,seen_relay_failure,51.799228720366955,260,0,0,1,0,1,1,1,0,260,162800.04922485352,826.0,0.475,0.0,0.2,0.5125,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950007,seen_f0_44_80,seen_relay_failure,58.39544197358191,260,0,0,1,0,1,1,1,0,260,162943.02911376953,791.0,0.5,0.0,0.2375,0.5375,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950008,seen_f0_44_80,seen_relay_failure,56.69184634834528,260,0,0,1,0,1,1,1,0,260,162793.07473754883,847.0,0.5,0.0,0.1625,0.5375,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950009,seen_f0_44_80,seen_relay_failure,65.98508586920798,260,0,0,1,0,1,1,1,0,260,164363.04522705078,753.0,0.5375,0.0,0.3875,0.5875,9,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
