arm,seed,milestone_update,window_updates,conservative_group,train_avg_reward,loss,policy_loss,value_loss,explained_variance,approx_kl,clip_fraction,entropy,grad_norm,advantage_mean,advantage_std,actor_gradient_norm,critic_gradient_norm,actor_update_norm,critic_update_norm
drtp_sg,3001,2930,128,control,0.10902958294173004,0.6038003148751159,-0.0015231859908024757,1.2588355737971142,0.8310687027405947,0.00046161195331961824,0.0009511312130143779,2.409428753890097,3.5105571509338915,0.004115532041396364,1.4512686133384705,,,,
drtp_sg,3001,3907,128,control,0.14710952455061488,0.48973797836515587,-0.0015939582047283128,1.028962595941266,0.9292949774535373,0.000606604249555905,0.002227783259968419,2.3149362676776946,3.6161203919909894,0.028631676546865492,1.31094731669873,,,,
drtp_sg,3002,976,128,control,0.0858018151629949,0.12786115979179158,-0.0014384068023763116,0.311670008704823,0.9325481310952455,0.000627139422411697,0.0029322307257189095,2.6535438566934317,1.4099489704531152,0.021253242256534577,0.7072291865479201,,,,
drtp_sg,3002,1953,128,control,0.10038275242550299,0.3266207739325182,-0.001688800632984489,0.708756167179672,0.8905204159673303,0.000637565775165901,0.00261433926425525,2.6068510618060827,2.411141944292467,0.06711410964999232,1.0713098307605833,,,,
drtp_sg,3002,2930,128,control,0.10689799638930708,0.41525679382903036,-0.001560972787158289,0.8817549916711869,0.9265920364996418,0.0006701621573057536,0.002909342545990512,2.4059729487635195,3.8372903300914913,-0.011697561334585771,1.2026884907390922,,,,
drtp_sg,3002,3907,128,control,0.12143048139114399,0.4807481792195176,-0.001688116676015496,1.0103677487859386,0.8833510850090533,0.0008941481361652848,0.004336039342206277,2.2747580313589424,3.500297003076412,0.01794862200767966,1.2690230326261371,,,,
drtp_sg,3003,976,128,control,0.034001716612124255,0.17115116946297348,-0.0019817914076843755,0.3972359269755543,0.8612995903240517,0.0010427390399598835,0.008384704845411761,2.5485002922359854,1.4201672540511936,0.03054488281122758,0.7904456427786499,,,,
drtp_sg,3003,1953,128,control,0.09473946352227358,0.43379406561507494,-0.0013278320024666737,0.9217564425198361,0.8504146499326453,0.0003917377076507004,0.0012563070051783143,2.5756324229296297,2.7099725014995784,0.05866379727740423,1.1655980786308646,,,,
drtp_sg,3003,2930,128,control,0.16029517527204007,0.5417297757921915,-0.0014845819254792937,1.1376454949204344,0.8954138583503664,0.00044410272551746266,0.0010121663667632674,2.5608391435816884,3.6394458920694888,0.00023726074869045988,1.4023394491523504,,,,
drtp_sg,3003,3907,128,control,0.1794645834597759,0.47370463590777945,-0.0018417249228441833,0.9984185851935763,0.9122989962343127,0.0007615295324399086,0.0035273234957458044,2.366293258499354,3.556168365292251,0.015989358282240573,1.3247063281014562,,,,
drtp_sg,3004,976,128,control,0.03068235264498753,0.08524343706631043,-0.0018177101387806351,0.22735405041203194,0.86458682466764,0.0007554331434723356,0.0026931763673019304,2.6615878553129733,1.1785313005384523,0.0043007622352888575,0.5922137919114903,,,,
drtp_sg,3004,1953,128,control,0.06173160177786485,0.2482055813579791,-0.0019741856128684585,0.5473099198788987,0.8712128279730678,0.0009366602962188608,0.005587260062156929,2.347519343951717,1.8258832063293085,0.0385430072528834,0.9026406387565657,,,,
drtp_sg,3004,2930,128,control,0.1370677174127195,0.5119233794393949,-0.0017548069825134602,1.0810047544364352,0.8639046415919438,0.0005087437892760486,0.0017751058458088664,2.68241922929883,3.0134060482960194,-0.007408216717522009,1.3600416001863778,,,,
drtp_sg,3004,3907,128,control,0.1725071211985778,0.5803313453980081,-0.0018596320344612311,1.2137143304862548,0.886702187708579,0.0007527535286880512,0.0026499431146476127,2.4666188943665475,3.9596796149853617,-0.005923148222791497,1.453227399615571,,,,
drtp_sg,3005,976,128,control,0.0151279111914846,0.15492813011223916,-0.0021644043415521433,0.36295237303238537,0.6984340695198625,0.001149206149152112,0.00845845566573189,2.438365258742124,1.5998115603579208,-0.009454394373278774,0.7131328860996291,,,,
drtp_sg,3005,1953,128,control,0.08065542770390266,0.30024086415505735,-0.0020468862418840175,0.6554283687873976,0.8741999182384461,0.0007562228566359389,0.004102071248325956,2.542643416672945,2.157413455657661,0.057722591616766294,1.0073214035946876,,,,
drtp_sg,3005,2930,128,control,0.16418425011215732,0.49781172300572507,-0.0022141596078861362,1.049110000312794,0.9197593149729073,0.0010733378827936235,0.006917317891293351,2.452911693137139,3.1681137155974284,1.371545295114629e-05,1.3611583411693573,,,,
drtp_sg,3005,3907,128,control,0.18467947968747467,0.647879569340148,-0.0021404703651910547,1.348675973888021,0.8639718976337463,0.001001908144811381,0.006876627756355447,2.4317948350217193,3.9292312760371715,0.03467064163851319,1.5276182731613517,,,,
conservative_drtp_sg,3001,976,128,failure,0.041910790297151834,0.1720664228523674,-0.0021085254213666525,0.40149182853565435,0.8270829078974202,0.001195395509167696,0.008964538874806749,2.657096681650728,1.4963819409313146,-0.018702679267335043,0.7860546584706753,,,,
conservative_drtp_sg,3001,1953,128,failure,0.12769202224444598,0.39437866063963156,-0.001184755454175076,0.8431505899352487,0.9138151400256902,0.0006715319440804279,0.004099528091728644,2.601187981199473,3.0329682077863254,0.06845295928724227,1.1766256738919765,,,,
