source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/validation_checkpoint_summary.csv,6969c0fd59c5d8c71e8ab60b9397fd45719a18204c1659381cdde6cbe0e050f0,4830,15,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/validation_episode_metrics.csv,9b52aef2631a7b004c943f6bf5eeb663fd77da010d3e10ea796d21bf5e666b36,177209,300,False,True,True
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/validation_selected_checkpoints.csv,18525e066845313798536e7dc0c898399494227b9b90e1ebf883893feb078f8e,4212,15,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_smoke/validation_checkpoint_summary.csv,71d03e101d73aef2dd8777c4a450f738186f392479e14223ff379f175dbf41fd,862,1,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_smoke/validation_episode_metrics.csv,9461f6ebfd6df65d76f1ad65ce9083812957958adc9bed7b0db3de033413dfa9,1802,1,False,True,True
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_smoke/validation_selected_checkpoints.csv,3c99974276a8e8a73debccac4889e67770d1a536699fcc34a33f6fc1489e7f6e,730,1,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_delayed55_diag5/test_checkpoint_summary.csv,4961987894c14a628111e49568911bd311488dd2ea9bf5c8e7a4f2b82c380f0b,4619,15,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_delayed55_diag5/test_episode_metrics.csv,e2ca721c81e1ef1d80a0052984ec0faef720ed051ca2d3ceb756771db3c1bd54,43695,75,False,True,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_delayed55_diag5/test_selected_checkpoints.csv,3954b6a0f452622e9dee7055ed374c9d6cbb9af34e1db0ef9551e44af7dcbb3d,4159,15,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_diag5/test_checkpoint_summary.csv,2eeca5a5e6a82a797bac1cb4dc39f7660fe3bf5712ff41001c7072b9272af542,12700,45,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_diag5/test_episode_metrics.csv,8042dfef1304d2741f8e21e59eb97d64cf8dd3716426c078241dbb8a6a819884,131443,225,False,True,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_diag5/test_selected_checkpoints.csv,f98a5254376e6d348f4e62e8337e5081e9bb0f99d1eec8abb41eaa0501d753d3,11356,45,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal/test_checkpoint_summary.csv,dc6c2fee3ed4d094c3fca3ec8feac3dc1074f2383099bda15f01b2a6e2bdf997,10639,35,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal/test_episode_metrics.csv,f70c96a3cf01448014c1b1abad0247a0206cbf44e7ff46b1cc991c983018a00d,2082409,3500,False,True,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal/test_selected_checkpoints.csv,3b10db97668d512457619a37d2323bea7e4a0872cfb68154e44a17630aaf78e1,7975,30,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/early_multi_vs_no_graph/intercept_3d_strict_sensing_recovered_only_steps.csv,c3f04fa011385d91909378117f32ea7cc6979d855f25172e0368a8d790d4479d,388,2,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/early_multi_vs_no_graph/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,c86c7e32a4fed318b515a584daa018e1deb6a4c639e00a768749558b1f875dd7,1162,8,False,False,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/early_multi_vs_no_graph/intercept_3d_strict_sensing_seed_level_deltas.csv,8c46e42b16fca0eec13f57dfbcfb54bdc59bb4860b94d282c28dc00c5aa75c08,3254,40,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/early_multi_vs_single/intercept_3d_strict_sensing_recovered_only_steps.csv,dcfb33512230001169e7b5a325000d0b454595de96f96bb95d59ffae45fe48cb,387,2,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/early_multi_vs_single/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,8fd5d55d9e43775b63c3d5dbfe1df538700a85be90fdd06cbd31a1ed0f594ca1,1167,8,False,False,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/early_multi_vs_single/intercept_3d_strict_sensing_seed_level_deltas.csv,ec0db95377cb89a5501a0316815bcd34b3d736812084a2e335fdc01c7d52b5a5,3283,40,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/nominal_multi_vs_no_graph/intercept_3d_strict_sensing_recovered_only_steps.csv,b6e16cd68615a200a2f907e2d5cb76862963ab87d690c14bc5265f37fbf2dd07,389,2,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/nominal_multi_vs_no_graph/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,5f69d557681aab9b4acaf4e8d0bb1024a04864b52873d8d20b69dd9c6e89dc6c,1165,8,False,False,True
