method,seed,scenario,episode,window,mean_strength,nonzero_fraction,mean_comm_fraction,pair_support_strong,pair_rates
full,0,dropout030_delay2_relay_failure,42,pre_recovery,0.125,0.125,0.5694444444444444,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.875,0.125,0.000"
full,0,dropout030_delay2_relay_failure,46,pre_failure,0.24444444477558136,0.24444444444444444,0.8055555555555556,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.650,0.800,0.000"
full,0,dropout030_delay2_relay_failure,46,early_post_failure,0.08888889104127884,0.08888888888888889,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.600,0.000,0.000"
full,0,dropout030_delay2_relay_failure,46,pre_recovery,0.08888889104127884,0.08888888888888889,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.600,0.000,0.000"
full,0,dropout030_delay2_relay_failure,44,pre_failure,0.20555555820465088,0.20555555555555555,0.7333333333333333,0,"0.000,0.600,0.000,0.000,0.000,0.000,0.550,0.700,0.000"
full,0,dropout030_delay2_relay_failure,44,early_post_failure,0.09259258955717087,0.09259259259259259,0.48148148148148145,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.000"
full,0,dropout030_delay2_relay_failure,44,pre_recovery,0.09259258955717087,0.09259259259259259,0.48148148148148145,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.000"
full,0,dropout030_delay2_relay_failure,47,pre_failure,0.25,0.25,0.8055555555555556,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.650,0.750,0.000"
full,0,dropout030_delay2_relay_failure,47,early_post_failure,0.095238097012043,0.09523809523809523,0.49206349206349204,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,47,pre_recovery,0.095238097012043,0.09523809523809523,0.49206349206349204,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,45,pre_failure,0.24444444477558136,0.24444444444444444,0.8444444444444444,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.750,0.750,0.000"
full,0,dropout030_delay2_relay_failure,45,early_post_failure,0.08994708955287933,0.08994708994708994,0.5132275132275133,0,"0.000,0.048,0.000,0.000,0.000,0.000,0.714,0.048,0.000"
full,0,dropout030_delay2_relay_failure,49,pre_failure,0.25555557012557983,0.25555555555555554,0.8111111111111111,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.650,0.800,0.000"
full,0,dropout030_delay2_relay_failure,49,early_post_failure,0.04444444552063942,0.044444444444444446,0.4888888888888889,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000"
full,0,dropout030_delay2_relay_failure,49,pre_recovery,0.04444444552063942,0.044444444444444446,0.4888888888888889,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000"
full,0,dropout030_delay2_relay_failure,50,pre_failure,0.23333333432674408,0.23333333333333334,0.8055555555555556,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.800,0.650,0.000"
full,0,dropout030_delay2_relay_failure,50,early_post_failure,0.09259258955717087,0.09259259259259259,0.5370370370370371,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.000,0.000"
full,0,dropout030_delay2_relay_failure,50,pre_recovery,0.09259258955717087,0.09259259259259259,0.5370370370370371,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.000,0.000"
