method,seed,scenario,episode,success,recovered,steps,failure_step,recovery_step,first_support_after_failure,support_persistence,unique_active_pairs,pre_recovery_boost,action_hash
full,0,dropout030_delay2_relay_failure_early,23,1,1,44,24,44,25,4,3,-0.0111,8228c49d0919881d
full,0,dropout030_delay2_relay_failure_early,21,1,1,46,24,46,25,5,3,-0.0333,bb15c69d6606471e
full,0,dropout030_delay2_relay_failure_early,22,0,0,260,24,-1,26,6,3,,bad32e3f850afbbb
full,0,dropout030_delay2_relay_failure_early,25,1,1,44,24,44,25,5,3,-0.0333,ea4d796121fe7c61
full,0,dropout030_delay2_relay_failure_early,27,1,1,44,24,44,25,10,3,-0.0889,e90f1a0e3542ab70
full,0,dropout030_delay2_relay_failure_early,24,1,1,46,24,46,31,5,3,0.0222,5e8f87542904522c
full,0,dropout030_delay2_relay_failure_early,26,1,1,48,24,48,26,7,3,-0.0444,19e58d7b41c67e37
full,0,dropout030_delay2_relay_failure_early,30,1,1,45,24,45,26,4,3,-0.0222,d6a1d4139cf8e72d
full,0,dropout030_delay2_relay_failure_early,31,1,1,45,24,45,28,6,3,0.0111,fe2c7835d5230f46
full,0,dropout030_delay2_relay_failure_early,28,1,1,47,24,47,26,6,3,0.0111,f7cab7c341674ffd
full,0,dropout030_delay2_relay_failure_early,29,1,1,47,24,47,25,10,3,-0.0111,092feb88d370d02c
full,0,dropout030_delay2_relay_failure_early,33,1,1,44,24,44,26,11,3,0.0000,106c3aa1e7f2d3e7
full,0,dropout030_delay2_relay_failure_early,35,1,1,44,24,44,25,10,3,0.0111,f2c9504a963f59da
full,0,dropout030_delay2_relay_failure_early,34,1,1,46,24,46,26,8,3,0.0111,2534cbe70c39d15a
full,0,dropout030_delay2_relay_failure_early,32,0,0,260,24,-1,25,9,3,,1ba65bf11e8b5df7
full,0,dropout030_delay2_relay_failure_early,39,1,1,44,24,44,25,9,3,-0.0889,6d6431f13a9644b0
full,0,dropout030_delay2_relay_failure_early,37,1,1,46,24,46,25,4,3,-0.0333,bd077a77344e19d2
full,0,dropout030_delay2_relay_failure_early,38,1,1,46,24,46,25,5,3,-0.0222,e51d41c6fe413f0e
full,0,dropout030_delay2_relay_failure_early,36,0,0,260,24,-1,25,14,3,,5acfd50dfcbe911f
full,0,dropout030_delay2_relay_failure_early,41,1,1,44,24,44,26,7,3,0.0222,6f55bc9383bd79b6
full,0,dropout030_delay2_relay_failure_early,40,1,1,45,24,45,25,7,3,-0.0222,83bda1e4a49fa8cb
full,0,dropout030_delay2_relay_failure_early,43,1,1,45,24,45,26,14,3,0.0222,dc2965d48184dc7d
full,0,dropout030_delay2_relay_failure_early,42,1,1,47,24,47,26,3,3,-0.0111,46c35bbf79765a4b
full,0,dropout030_delay2_relay_failure_early,46,1,1,44,24,44,25,5,3,-0.0222,a37bda103e668d0e
full,0,dropout030_delay2_relay_failure_early,44,1,1,45,24,45,26,5,3,0.0111,9a9dce60bd0660b8
