cohort,seed,bin_id,update_start,update_end,environment_steps_million_end,utr_mean_train_reward,drtp_mean_train_reward,drtp_minus_utr_train_reward
formal_2301_2305,2304,13,6501,7000,1.792,0.1465647379979491,0.2204539173617959,0.07388917936384679
formal_2301_2305,2305,13,6501,7000,1.792,0.12593136754911394,0.21809397503733635,0.09216260748822241
formal_2301_2305,2301,14,7001,7500,1.92,0.23978539901226759,0.22459203896671534,-0.015193360045552246
formal_2301_2305,2302,14,7001,7500,1.92,0.1506312829181552,0.15778245318308473,0.007151170264929535
formal_2301_2305,2303,14,7001,7500,1.92,0.17312709146738053,0.1661802019737661,-0.006946889493614439
formal_2301_2305,2304,14,7001,7500,1.92,0.14755163772031665,0.21466300048027187,0.06711136275995522
formal_2301_2305,2305,14,7001,7500,1.92,0.1314804446771741,0.20328029526397587,0.07179985058680177
formal_2301_2305,2301,15,7501,8000,2.048,0.2355764760673046,0.20199908637441694,-0.03357738969288768
formal_2301_2305,2302,15,7501,8000,2.048,0.15274652486108242,0.13989753357693552,-0.012848991284146905
formal_2301_2305,2303,15,7501,8000,2.048,0.1863798518627882,0.1843398468270898,-0.0020400050356984
formal_2301_2305,2304,15,7501,8000,2.048,0.16917346078529955,0.23038297064602375,0.06120950986072421
formal_2301_2305,2305,15,7501,8000,2.048,0.15461811989545823,0.2067937205657363,0.05217560067027807
formal_2301_2305,2301,16,8001,8500,2.176,0.23819940935075284,0.22745127368718385,-0.010748135663568997
formal_2301_2305,2302,16,8001,8500,2.176,0.16867634004354476,0.16550712447613478,-0.003169215567409983
formal_2301_2305,2303,16,8001,8500,2.176,0.1931198976226151,0.13735945134051145,-0.055760446282103665
formal_2301_2305,2304,16,8001,8500,2.176,0.1718988804630935,0.2529838633984327,0.0810849829353392
formal_2301_2305,2305,16,8001,8500,2.176,0.1603300806954503,0.20333567406237124,0.04300559336692095
formal_2301_2305,2301,17,8501,9000,2.304,0.23176207715272903,0.22538629703968763,-0.006375780113041407
formal_2301_2305,2302,17,8501,9000,2.304,0.19255742610245943,0.18533207178115846,-0.007225354321300975
formal_2301_2305,2303,17,8501,9000,2.304,0.18918565994128586,0.17424126214534044,-0.014944397795945419
formal_2301_2305,2304,17,8501,9000,2.304,0.19343790555372833,0.2386109654903412,0.04517305993661286
formal_2301_2305,2305,17,8501,9000,2.304,0.17516080883145332,0.2028276457414031,0.027666836909949782
formal_2301_2305,2301,18,9001,9500,2.432,0.22531994809955358,0.2332296011298895,0.007909653030335917
formal_2301_2305,2302,18,9001,9500,2.432,0.17827281264215708,0.19639639400690795,0.018123581364750868
formal_2301_2305,2303,18,9001,9500,2.432,0.196543920353055,0.18560140028595926,-0.010942520067095757
formal_2301_2305,2304,18,9001,9500,2.432,0.20306135757267474,0.2255609317943454,0.02249957422167065
formal_2301_2305,2305,18,9001,9500,2.432,0.19764367673546077,0.2046035234890878,0.006959846753627041
formal_2301_2305,2301,19,9501,10000,2.56,0.23789816704392433,0.21475122360885143,-0.023146943435072898
formal_2301_2305,2302,19,9501,10000,2.56,0.1941538618132472,0.1864179299995303,-0.007735931813716901
formal_2301_2305,2303,19,9501,10000,2.56,0.22359303939342498,0.18834222984313964,-0.03525080955028534
formal_2301_2305,2304,19,9501,10000,2.56,0.20143570053577423,0.19258598529919982,-0.008849715236574407
formal_2301_2305,2305,19,9501,10000,2.56,0.19843348664045335,0.22505893993377685,0.026625453293323498
formal_2301_2305,2301,20,10001,10500,2.688,0.2342119185179472,0.24376463583111763,0.009552717313170422
formal_2301_2305,2302,20,10001,10500,2.688,0.17406838031113148,0.18676426722481848,0.012695886913687005
formal_2301_2305,2303,20,10001,10500,2.688,0.23117930004000664,0.2043324759528041,-0.026846824087202542
formal_2301_2305,2304,20,10001,10500,2.688,0.1987394210025668,0.20937169305607675,0.010632272053509945
formal_2301_2305,2305,20,10001,10500,2.688,0.17527700045704842,0.23649493680894376,0.06121793635189535
formal_2301_2305,2301,21,10501,11000,2.816,0.21612965670973064,0.2412865214049816,0.02515686469525097
formal_2301_2305,2302,21,10501,11000,2.816,0.18500151723623276,0.1625342395529151,-0.02246727768331766
formal_2301_2305,2303,21,10501,11000,2.816,0.2100553949549794,0.2162597725689411,0.006204377613961698
formal_2301_2305,2304,21,10501,11000,2.816,0.17587299133464693,0.19642897039651872,0.020555979061871787
formal_2301_2305,2305,21,10501,11000,2.816,0.15771691484563052,0.2535584414303303,0.09584152658469977
formal_2301_2305,2301,22,11001,11500,2.944,0.25481424655020235,0.24980656670033932,-0.005007679849863028
formal_2301_2305,2302,22,11001,11500,2.944,0.22069391801953317,0.1662182685956359,-0.054475649423897265
formal_2301_2305,2303,22,11001,11500,2.944,0.22249613708257676,0.2031674140691757,-0.01932872301340105
formal_2301_2305,2304,22,11001,11500,2.944,0.21649530625343322,0.2372171530276537,0.02072184677422048
formal_2301_2305,2305,22,11001,11500,2.944,0.17247048472613097,0.24591355971992016,0.07344307499378919
formal_2301_2305,2301,23,11501,12000,3.072,0.23827176584303378,0.2389834976196289,0.0007117317765951148
formal_2301_2305,2302,23,11501,12000,3.072,0.2194718519449234,0.19332649252563716,-0.02614535941928625
formal_2301_2305,2303,23,11501,12000,3.072,0.21026536282151936,0.20358167762309312,-0.006683685198426242
formal_2301_2305,2304,23,11501,12000,3.072,0.21889857918024064,0.2449336058050394,0.026035026624798757
formal_2301_2305,2305,23,11501,12000,3.072,0.1699094348104263,0.23522467322647572,0.06531523841604941
formal_2301_2305,2301,24,12001,12500,3.2,0.2789174353480339,0.22413276754319666,-0.05478466780483726
formal_2301_2305,2302,24,12001,12500,3.2,0.13781602707505225,0.17037055453658104,0.03255452746152879
formal_2301_2305,2303,24,12001,12500,3.2,0.19390395199507474,0.23389747941493988,0.039993527419865144
formal_2301_2305,2304,24,12001,12500,3.2,0.22743826747685672,0.2540413161665201,0.026603048689663372
formal_2301_2305,2305,24,12001,12500,3.2,0.17656208396703005,0.2522069104760885,0.07564482650905846
formal_2301_2305,2301,25,12501,13000,3.328,0.28552608923614026,0.2569672811329365,-0.02855880810320377
formal_2301_2305,2302,25,12501,13000,3.328,0.1804586854800582,0.1496943710371852,-0.030764314442873003
formal_2301_2305,2303,25,12501,13000,3.328,0.2139234951213002,0.23291205321252345,0.01898855809122324
formal_2301_2305,2304,25,12501,13000,3.328,0.2257289282679558,0.26041068239510057,0.034681754127144776
formal_2301_2305,2305,25,12501,13000,3.328,0.15069025542587042,0.25516710798442366,0.10447685255855324
formal_2301_2305,2301,26,13001,13500,3.456,0.27597341787815094,0.2186133055910468,-0.05736011228710414
formal_2301_2305,2302,26,13001,13500,3.456,0.18814198695123197,0.17692508900165557,-0.011216897949576393
formal_2301_2305,2303,26,13001,13500,3.456,0.16831755094137044,0.24331929670274258,0.07500174576137214
formal_2301_2305,2304,26,13001,13500,3.456,0.22972707508504392,0.25234624348580836,0.022619168400764444
formal_2301_2305,2305,26,13001,13500,3.456,0.1702349918037653,0.25271373076736925,0.08247873896360394
formal_2301_2305,2301,27,13501,14000,3.584,0.2584580309391022,0.23759649857133627,-0.020861532367765917
formal_2301_2305,2302,27,13501,14000,3.584,0.19416794546693564,0.20224807626008987,0.008080130793154228
formal_2301_2305,2303,27,13501,14000,3.584,0.2378043409138918,0.21939723184704782,-0.01840710906684398
formal_2301_2305,2304,27,13501,14000,3.584,0.22256848761439324,0.27541902974247934,0.0528505421280861
formal_2301_2305,2305,27,13501,14000,3.584,0.18217974980175494,0.26072856821119783,0.07854881840944289
formal_2301_2305,2301,28,14001,14500,3.712,0.2381645929515362,0.2318724900856614,-0.006292102865874782
formal_2301_2305,2302,28,14001,14500,3.712,0.20001340334862472,0.19042454335093498,-0.009588859997689742
formal_2301_2305,2303,28,14001,14500,3.712,0.23001754583418368,0.13899648969992995,-0.09102105613425374
formal_2301_2305,2304,28,14001,14500,3.712,0.10213775964081287,0.2794748063087463,0.17733704666793346
formal_2301_2305,2305,28,14001,14500,3.712,0.2207602496445179,0.2672540888339281,0.04649383918941019
formal_2301_2305,2301,29,14501,15000,3.84,0.26368896484375,0.22205075390636922,-0.041638210937380765
formal_2301_2305,2302,29,14501,15000,3.84,0.20599893952161075,0.20684366454184056,0.0008447250202298084
formal_2301_2305,2303,29,14501,15000,3.84,0.22549292828142642,0.07586276275580167,-0.14963016552562475
formal_2301_2305,2304,29,14501,15000,3.84,0.22163346655666827,0.2681478673201054,0.04651440076343716
formal_2301_2305,2305,29,14501,15000,3.84,0.21731499890238046,0.24732602424919606,0.0300110253468156
formal_2301_2305,2301,30,15001,15500,3.968,0.25439513482898474,0.23098254585266112,-0.023412588976323617
