cohort,method,seed,bin_id,update_start,update_end,environment_steps_million_end,metric,mean_value
formal_2301_2305,utr_sg,2301,29,14501,15000,3.84,value_loss,0.8398256771769375
formal_2301_2305,utr_sg,2301,29,14501,15000,3.84,grad_norm,6.865812946528196
formal_2301_2305,utr_sg,2301,30,15001,15500,3.968,train_avg_reward,0.25439513482898474
formal_2301_2305,utr_sg,2301,30,15001,15500,3.968,entropy,1.8132819535136222
formal_2301_2305,utr_sg,2301,30,15001,15500,3.968,approx_kl,0.0014827782907309466
formal_2301_2305,utr_sg,2301,30,15001,15500,3.968,policy_loss,-0.0023683874302570765
formal_2301_2305,utr_sg,2301,30,15001,15500,3.968,value_loss,0.9134933134764432
formal_2301_2305,utr_sg,2301,30,15001,15500,3.968,grad_norm,6.913064501196146
formal_2301_2305,utr_sg,2301,31,15501,16000,4.096,train_avg_reward,0.2722025769650936
formal_2301_2305,utr_sg,2301,31,15501,16000,4.096,entropy,1.845022325515747
formal_2301_2305,utr_sg,2301,31,15501,16000,4.096,approx_kl,0.0014527140083306052
formal_2301_2305,utr_sg,2301,31,15501,16000,4.096,policy_loss,-0.0022151503563263616
formal_2301_2305,utr_sg,2301,31,15501,16000,4.096,value_loss,0.6623130785897374
formal_2301_2305,utr_sg,2301,31,15501,16000,4.096,grad_norm,6.683816264405847
formal_2301_2305,utr_sg,2301,32,16001,16500,4.224,train_avg_reward,0.26115862748026847
formal_2301_2305,utr_sg,2301,32,16001,16500,4.224,entropy,1.69831814712286
formal_2301_2305,utr_sg,2301,32,16001,16500,4.224,approx_kl,0.001223416825697463
formal_2301_2305,utr_sg,2301,32,16001,16500,4.224,policy_loss,-0.002047772080609398
formal_2301_2305,utr_sg,2301,32,16001,16500,4.224,value_loss,0.8657868116907775
formal_2301_2305,utr_sg,2301,32,16001,16500,4.224,grad_norm,9.709512954592705
formal_2301_2305,utr_sg,2301,33,16501,17000,4.352,train_avg_reward,0.2678474799245596
formal_2301_2305,utr_sg,2301,33,16501,17000,4.352,entropy,1.6745243175029754
formal_2301_2305,utr_sg,2301,33,16501,17000,4.352,approx_kl,0.001616044596180774
formal_2301_2305,utr_sg,2301,33,16501,17000,4.352,policy_loss,-0.0024739435469669094
formal_2301_2305,utr_sg,2301,33,16501,17000,4.352,value_loss,0.8099328915961087
formal_2301_2305,utr_sg,2301,33,16501,17000,4.352,grad_norm,8.51652703422308
formal_2301_2305,utr_sg,2301,34,17001,17500,4.48,train_avg_reward,0.2709335191696882
formal_2301_2305,utr_sg,2301,34,17001,17500,4.48,entropy,1.7860900146365166
formal_2301_2305,utr_sg,2301,34,17001,17500,4.48,approx_kl,0.001792069387983245
formal_2301_2305,utr_sg,2301,34,17001,17500,4.48,policy_loss,-0.0025166012367496154
formal_2301_2305,utr_sg,2301,34,17001,17500,4.48,value_loss,0.8388009351771325
formal_2301_2305,utr_sg,2301,34,17001,17500,4.48,grad_norm,8.11319143292308
formal_2301_2305,utr_sg,2301,35,17501,18000,4.608,train_avg_reward,0.27043292951583864
formal_2301_2305,utr_sg,2301,35,17501,18000,4.608,entropy,1.7424469540119172
formal_2301_2305,utr_sg,2301,35,17501,18000,4.608,approx_kl,0.0015808208054343882
formal_2301_2305,utr_sg,2301,35,17501,18000,4.608,policy_loss,-0.002524370501843273
formal_2301_2305,utr_sg,2301,35,17501,18000,4.608,value_loss,0.6159685863368213
