table,method,condition,metric,mean,sd,n,source
table3_robustness,w_o_task_support,R03,delta_recovery_from_R00,-0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R03,delta_t_rec_from_R00,0.336870,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R03,worst_seed_recovery,0.960000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R04,delta_recovery_from_R00,0.013333,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R04,delta_t_rec_from_R00,-0.156943,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R04,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R05,delta_recovery_from_R00,-0.106667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R05,delta_t_rec_from_R00,19.088257,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R05,worst_seed_recovery,0.680000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R06,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R06,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R06,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R07,delta_recovery_from_R00,-0.020000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R07,delta_t_rec_from_R00,-0.498423,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R07,worst_seed_recovery,0.900000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R08,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R08,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R08,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R09,delta_recovery_from_R00,-0.040000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R09,delta_t_rec_from_R00,23.453023,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R09,worst_seed_recovery,0.880000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R01,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R01,delta_t_rec_from_R00,-1.766667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R01,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R02,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R02,delta_t_rec_from_R00,-0.606667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R02,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R03,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R03,delta_t_rec_from_R00,-0.293333,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R03,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R04,delta_recovery_from_R00,-0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R04,delta_t_rec_from_R00,-1.277687,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R04,worst_seed_recovery,0.980000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R05,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R05,delta_t_rec_from_R00,13.240000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R05,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R06,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R06,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R06,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R07,delta_recovery_from_R00,-0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R07,delta_t_rec_from_R00,-1.278640,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R07,worst_seed_recovery,0.980000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R08,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R08,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R08,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R09,delta_recovery_from_R00,-0.013333,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R09,delta_t_rec_from_R00,14.513600,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_role_pair_gate,R09,worst_seed_recovery,0.960000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R01,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R01,delta_t_rec_from_R00,-4.126667,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R01,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
