arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
snr_sg,2401,10m,compound_60_120,89.67540844262578,0.0,0.99,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,12.1,0.6748333333333334,0.0,0.18308333333333335,0.7883333333333333,23.763694444444447,159438.1299014282,1288.14
snr_sg,2402,10m,nominal,202.8439149171021,0.03,0.5,0.0,nan,nan,258.39,0,nan,nan,0,nan,2.25,0.0,0.0,0.0,0.0,nan,154162.36867034913,773.29
snr_sg,2402,10m,f0_seen_44_80,194.76525875328107,0.05,0.44,0.0,1.0,1.0,255.19,100,1.0,1.0,0,0.0,4.46,0.186875,0.0,0.33525,0.512375,17.150125,151450.01434051513,760.04
snr_sg,2402,10m,timing_28_80,195.94868682274594,0.06,0.46,0.0,1.0,1.0,253.88,100,1.0,1.0,0,0.0,4.57,0.17337499999999997,0.0,0.136875,0.309375,20.397125,149027.9820098877,721.82
snr_sg,2402,10m,timing_36_80,198.6030052856356,0.02,0.47,0.0,1.0,1.0,258.07,100,1.0,1.0,0,0.0,4.8,0.181125,0.0,0.2365,0.410375,18.621958333333332,152512.54770721437,754.59
snr_sg,2402,10m,timing_52_80,198.54607593499125,0.03,0.47,0.0,1.0,1.0,257.15,100,1.0,1.0,0,0.0,4.55,0.189375,0.0,0.4375,0.615375,16.167291666666664,152999.27864196777,760.6
snr_sg,2402,10m,timing_60_80,200.8933417421393,0.03,0.48,0.0,1.0,1.0,257.78,100,1.0,1.0,0,0.0,4.66,0.185375,0.0,0.54175,0.7134999999999999,16.072625,153239.15364807128,763.64
snr_sg,2402,10m,duration_44_40,194.61663385784254,0.03,0.51,0.0,1.0,1.0,257.35,100,1.0,1.0,0,0.0,4.42,0.0245,0.0,0.0005,0.025,14.103166666666667,152751.37795928956,771.72
snr_sg,2402,10m,duration_44_60,193.69182584179566,0.05,0.46,0.0,1.0,1.0,254.87,100,1.0,1.0,0,0.0,4.35,0.22716666666666666,0.0,0.1305,0.34983333333333333,15.024611111111112,151366.5535623169,760.66
snr_sg,2402,10m,duration_44_100,191.9929905018024,0.06,0.46,0.0,1.0,1.0,254.57,100,1.0,1.0,0,0.0,4.41,0.14950000000000002,0.0,0.4682,0.6099,19.758766666666666,151073.7196105957,764.54
