protocol,development_episode_id,method,train_seed,condition,J,success_at_horizon,collision,timeout,constraint_violation,terminal_step,failure_exposed,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,mean_cache_age_during_failure,path_switch_count,traveled_distance,control_effort,evaluation_budget,topology_condition,onset,duration,checkpoint_sha256,tape_hash,inference_unit
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500030,drtp_sg,2401,nominal,205.2846763106063,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163404.98565673828,1103.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500031,drtp_sg,2401,nominal,225.2074342817068,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,15,162159.00018310547,1075.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500032,drtp_sg,2401,nominal,145.68871714174747,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,13,163237.01208496094,1125.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500033,drtp_sg,2401,nominal,204.31033096741885,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,162361.0486755371,1047.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500034,drtp_sg,2401,nominal,196.88936425745487,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163109.0066833496,1164.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500035,drtp_sg,2401,nominal,151.83400805294514,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,164614.0051574707,1219.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500036,drtp_sg,2401,nominal,194.46605418249965,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,3,162763.9735107422,1046.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500037,drtp_sg,2401,nominal,216.77184440381825,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,13,162289.03244018555,1115.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500038,drtp_sg,2401,nominal,160.46659636404365,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,165444.96926879883,1203.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500039,drtp_sg,2401,nominal,225.06775392591953,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,19,161242.0267944336,1113.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500040,drtp_sg,2401,nominal,203.76555565558374,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,5,161828.98712158203,1104.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500041,drtp_sg,2401,nominal,197.30705087911338,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163556.01306152344,1121.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500042,drtp_sg,2401,nominal,215.8134569823742,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,12,161814.01388549805,1078.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500043,drtp_sg,2401,nominal,198.14120240602642,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,162922.02905273438,1059.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500044,drtp_sg,2401,nominal,169.85519618354738,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,165411.00689697266,1174.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500045,drtp_sg,2401,nominal,211.2806490510702,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,9,162441.96710205078,1085.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500046,drtp_sg,2401,nominal,199.06939580477774,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,5,161513.00271606445,1121.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500047,drtp_sg,2401,nominal,198.93127850536257,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,161972.99960327148,1037.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500048,drtp_sg,2401,nominal,203.5542259067297,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,162868.99087524414,1085.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500049,drtp_sg,2401,nominal,210.64375385642052,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,4,162453.96084594727,1073.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500050,drtp_sg,2401,nominal,195.6026307940483,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163222.9985961914,1082.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500051,drtp_sg,2401,nominal,209.0334065584466,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,7,161855.98690795898,1036.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500052,drtp_sg,2401,nominal,165.5282711777836,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,7,163843.99990844727,1162.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500053,drtp_sg,2401,nominal,193.1881974330172,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163491.9754638672,1159.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500054,drtp_sg,2401,nominal,213.09355072677135,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,15,162028.015625,1087.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500055,drtp_sg,2401,nominal,200.0812577176839,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,9,162147.97299194336,1037.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500056,drtp_sg,2401,nominal,191.64213518239558,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163439.96755981445,1104.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500057,drtp_sg,2401,nominal,212.69951494038105,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,11,161152.02813720703,1055.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500058,drtp_sg,2401,nominal,214.80687926430255,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,11,162095.0030517578,1076.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500059,drtp_sg,2401,nominal,199.87386425677687,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,162914.99047851562,1124.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500060,drtp_sg,2401,nominal,191.9602126609534,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,164177.00576782227,1162.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500061,drtp_sg,2401,nominal,191.66169911623,0.0,1.0,0.0,0.0,240,0,0.0,0.0,0.0,0.0,nan,7,151996.0149230957,994.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
