method,train_seed,update_start,update_end,environment_steps_million,train_avg_reward,approx_kl,clip_fraction
utr_sg,2303,29001,29500,7.424256,0.2531844136863947,0.001983732103887024,0.020776042224955747
utr_sg,2303,29501,30000,7.552256,0.23865411346405743,0.0018301570939253588,0.018430990095890592
utr_sg,2303,30001,30500,7.680256,0.2509973983317614,0.0021612775777133096,0.02309114649775438
utr_sg,2303,30501,31000,7.808256,0.26240289890766144,0.0017623082174037922,0.017378255683695897
utr_sg,2303,31001,31500,7.936256,0.24398000228404998,0.0012757657792515876,0.011548177398974076
utr_sg,2303,31501,32000,8.064256,0.24571231173723937,0.0017771934955496036,0.017705729675770273
utr_sg,2303,32001,32500,8.192256,0.2789684045761824,0.0014810657440305736,0.013947266004455741
utr_sg,2303,32501,33000,8.320256,0.28646903294324877,0.0015395039062544385,0.014611328543105628
utr_sg,2303,33001,33500,8.448256,0.2777141661345959,0.0012451052371537368,0.0109485679914942
utr_sg,2303,33501,34000,8.576256,0.2843263506889343,0.0014900567396998617,0.013690104579785839
utr_sg,2303,34001,34500,8.704256,0.2750736303627491,0.001601488673093926,0.014778646257938817
utr_sg,2303,34501,35000,8.832256,0.27084161350131036,0.0017750566977862607,0.017287109890661668
utr_sg,2303,35001,35500,8.960256,0.25659484561532736,0.001595638538531296,0.014894531684054527
utr_sg,2303,35501,36000,9.088256,0.2650889408290386,0.001726976716014175,0.016807292185549157
utr_sg,2303,36001,36500,9.216256,0.2523649525642395,0.0014910075221714542,0.014423177482851315
utr_sg,2303,36501,37000,9.344256,0.2521517880782485,0.0014257989735591123,0.013102864942629822
utr_sg,2303,37001,37500,9.472256,0.25021580193936827,0.0020576916647696603,0.02139583397115348
utr_sg,2303,37501,38000,9.600256,0.25650795848667624,0.0016731474281644573,0.016391276516136713
utr_sg,2303,38001,38500,9.728256,0.26712344551086425,0.001482782082476354,0.014725260848877951
utr_sg,2303,38501,39000,9.856256,0.25864655709266665,0.0012303047292489238,0.010706380510586314
utr_sg,2303,39001,39063,9.984256,0.1828464184488569,0.0010401109165233484,0.008287863995295965
utr_sg,2304,1,500,0.000256,-0.016259788463619772,0.0009105941051548142,0.004373698051378596
utr_sg,2304,501,1000,0.128256,0.030015000798372056,0.0008712074255093587,0.004522786583227571
utr_sg,2304,1001,1500,0.256256,0.055842014344685595,0.0008857808537983753,0.005009765751368832
utr_sg,2304,1501,2000,0.384256,0.07840203682600987,0.00076373946411771,0.004148437618045136
utr_sg,2304,2001,2500,0.512256,0.08515930597065016,0.0008202801426162598,0.004593099081830587
utr_sg,2304,2501,3000,0.640256,0.10065863380860537,0.0007328088014322323,0.003268880299234297
utr_sg,2304,3001,3500,0.768256,0.1204603362660855,0.0007987033407192332,0.004328776157228276
utr_sg,2304,3501,4000,0.896256,0.11661454189289361,0.0009667968906137503,0.0062317710114875805
utr_sg,2304,4001,4500,1.024256,0.13748071770370007,0.0007057178821893708,0.0025664063148433344
utr_sg,2304,4501,5000,1.152256,0.13262319973483683,0.0009509560777757238,0.005099609526514542
utr_sg,2304,5001,5500,1.280256,0.13116710336878895,0.001064887837002516,0.00679427105904324
utr_sg,2304,5501,6000,1.408256,0.14785939339548348,0.0007877881791935881,0.003972656383237336
