run,reference,tape,condition,episode_id,P1,P2,P3,failure_exposure
R0_G_REF,G,T4,timing,480002,-0.004774835775068735,-0.0,0.0,True
R0_G_REF,G,T4,timing,480003,-0.0046280096928544845,-0.0,0.0,True
R0_G_REF,G,T4,timing,480004,-0.007707642935668264,-0.0,0.0,True
R0_G_REF,G,T4,timing,480005,-0.005628810951319181,-0.0,0.0,True
R0_G_REF,G,T4,timing,480006,-0.004891832451879708,-0.0,0.0,True
R0_G_REF,G,T4,timing,480007,-0.006006982445338864,-0.0,0.0,True
R0_G_REF,G,T4,timing,480008,-0.006072079779207623,-0.0,0.0,True
R0_G_REF,G,T4,timing,480009,-0.003198796630466405,-0.0,0.0,True
R0_G_REF,G,T4,duration,480000,-0.003122331701071554,-0.0,0.0,True
R0_G_REF,G,T4,duration,480001,-0.0030960828551667985,-0.0,0.0,True
R0_G_REF,G,T4,duration,480002,-0.004799143569123744,-0.0,0.0,True
R0_G_REF,G,T4,duration,480003,-0.004662065262418499,-0.0,0.0,True
R0_G_REF,G,T4,duration,480004,-0.008136210072883876,-0.0,0.0,True
R0_G_REF,G,T4,duration,480005,-0.00578088719452869,-0.0,0.0,True
R0_G_REF,G,T4,duration,480006,-0.004873343962395575,-0.0,0.0,True
R0_G_REF,G,T4,duration,480007,-0.006168669965759562,-0.0,0.0,True
R0_G_REF,G,T4,duration,480008,-0.006246755496937817,-0.0,0.0,True
R0_G_REF,G,T4,duration,480009,-0.002919882768666253,-0.0,0.0,True
R0_G_REF,G,T4,compound,480000,0.0003400578861692566,-0.0,1.0,True
R0_G_REF,G,T4,compound,480001,1.960313422994936e-05,-0.0,1.0,True
R0_G_REF,G,T4,compound,480002,-0.0006863772035603177,-0.0,0.0,True
R0_G_REF,G,T4,compound,480003,-0.00034624037918902923,-0.0,0.0,True
R0_G_REF,G,T4,compound,480004,-0.003277665250078013,-0.0,0.0,True
R0_G_REF,G,T4,compound,480005,-0.001257297586299079,-0.0,0.0,True
R0_G_REF,G,T4,compound,480006,-0.001049444065465649,-0.0,0.0,True
R0_G_REF,G,T4,compound,480007,-0.0016047024254036897,-0.0,0.0,True
R0_G_REF,G,T4,compound,480008,-0.001627626829216379,-0.0,0.0,True
R0_G_REF,G,T4,compound,480009,0.00019916986675355962,-0.0,1.0,True
R1_B_REF,B,T0,f0,440000,-0.010433421815460458,-0.0,0.0,True
R1_B_REF,B,T0,f0,440001,-0.006049427440413428,-0.0,0.0,True
R1_B_REF,B,T0,f0,440002,-0.006970813784824987,-0.0,0.0,True
R1_B_REF,B,T0,f0,440003,-0.008058118580889617,-0.0,0.0,True
R1_B_REF,B,T0,f0,440004,-0.005900632076529739,-0.0,0.0,True
R1_B_REF,B,T0,f0,440005,-0.00640229720562701,-0.0,0.0,True
R1_B_REF,B,T0,f0,440006,-0.007812560446401268,-0.0,0.0,True
R1_B_REF,B,T0,f0,440007,-0.005901157234732267,-0.0,0.0,True
R1_B_REF,B,T0,f0,440008,-0.007571689840478994,-0.0,0.0,True
R1_B_REF,B,T0,f0,440009,-0.006630307437998634,-0.0,0.0,True
R1_B_REF,B,T0,timing,440000,-0.009415900465365067,-0.0,0.0,True
R1_B_REF,B,T0,timing,440001,-0.00550985359649298,-0.0,0.0,True
R1_B_REF,B,T0,timing,440002,-0.0060683325629322105,-0.0,0.0,True
R1_B_REF,B,T0,timing,440003,-0.007244237851634618,-0.0,0.0,True
R1_B_REF,B,T0,timing,440004,-0.005169461374062408,-0.0,0.0,True
R1_B_REF,B,T0,timing,440005,-0.0058161525981374074,-0.0,0.0,True
R1_B_REF,B,T0,timing,440006,-0.007064329676039339,-0.0,0.0,True
R1_B_REF,B,T0,timing,440007,-0.005076738155172134,-0.0,0.0,True
R1_B_REF,B,T0,timing,440008,-0.0068498838673942295,-0.0,0.0,True
R1_B_REF,B,T0,timing,440009,-0.005936671259026219,-0.0,0.0,True
R1_B_REF,B,T0,duration,440000,-0.010433421815460458,-0.0,0.0,True
R1_B_REF,B,T0,duration,440001,-0.006049427440413428,-0.0,0.0,True
R1_B_REF,B,T0,duration,440002,-0.006970813784824987,-0.0,0.0,True
R1_B_REF,B,T0,duration,440003,-0.008058118580889617,-0.0,0.0,True
R1_B_REF,B,T0,duration,440004,-0.005900632076529739,-0.0,0.0,True
R1_B_REF,B,T0,duration,440005,-0.00640229720562701,-0.0,0.0,True
R1_B_REF,B,T0,duration,440006,-0.007812560446401268,-0.0,0.0,True
R1_B_REF,B,T0,duration,440007,-0.005901157234732267,-0.0,0.0,True
R1_B_REF,B,T0,duration,440008,-0.007571689840478994,-0.0,0.0,True
R1_B_REF,B,T0,duration,440009,-0.006630307437998634,-0.0,0.0,True
R1_B_REF,B,T0,compound,440000,-0.005256725471189253,-0.0,0.0,True
R1_B_REF,B,T0,compound,440001,-0.003587870753866668,-0.0,0.0,True
R1_B_REF,B,T0,compound,440002,-0.004319078559927236,-0.0,0.0,True
R1_B_REF,B,T0,compound,440003,-0.004647068884142318,-0.0,0.0,True
R1_B_REF,B,T0,compound,440004,-0.0036142955050113097,-0.0,0.0,True
R1_B_REF,B,T0,compound,440005,-0.003595393563545264,-0.0,0.0,True
R1_B_REF,B,T0,compound,440006,-0.004404540026687852,-0.0,0.0,True
R1_B_REF,B,T0,compound,440007,-0.003802844886787475,-0.0,0.0,True
R1_B_REF,B,T0,compound,440008,-0.004039435087874651,-0.0,0.0,True
R1_B_REF,B,T0,compound,440009,-0.00410356087790799,-0.0,0.0,True
R1_B_REF,B,T1,f0,450000,-0.010182080799947143,-0.0,0.0,True
R1_B_REF,B,T1,f0,450001,-0.00787255346106823,-0.0,0.0,True
R1_B_REF,B,T1,f0,450002,-0.009160325708919314,-0.0,0.0,True
R1_B_REF,B,T1,f0,450003,-0.006224306964406841,-0.0,0.0,True
R1_B_REF,B,T1,f0,450004,-0.010238185876337923,-0.0,0.0,True
R1_B_REF,B,T1,f0,450005,-0.006625509374142563,-0.0,0.0,True
R1_B_REF,B,T1,f0,450006,-0.008430532081772624,-0.0,0.0,True
R1_B_REF,B,T1,f0,450007,-0.007105560333440132,-0.0,0.0,True
R1_B_REF,B,T1,f0,450008,-0.0072905826601804505,-0.0,0.0,True
R1_B_REF,B,T1,f0,450009,-0.007341872465849292,-0.0,0.0,True
R1_B_REF,B,T1,timing,450000,-0.008968566124283428,-0.0,0.0,True
R1_B_REF,B,T1,timing,450001,-0.007031143256745242,-0.0,0.0,True
R1_B_REF,B,T1,timing,450002,-0.008113885673322085,-0.0,0.0,True
R1_B_REF,B,T1,timing,450003,-0.005626379893975644,-0.0,0.0,True
R1_B_REF,B,T1,timing,450004,-0.00934566809299191,-0.0,0.0,True
R1_B_REF,B,T1,timing,450005,-0.0060159583168755675,-0.0,0.0,True
R1_B_REF,B,T1,timing,450006,-0.0075135687999447805,-0.0,0.0,True
R1_B_REF,B,T1,timing,450007,-0.006258806765484562,-0.0,0.0,True
R1_B_REF,B,T1,timing,450008,-0.006662858384645536,-0.0,0.0,True
R1_B_REF,B,T1,timing,450009,-0.006693306405992018,-0.0,0.0,True
