graph_encoder,train_seed,episode,rollout_seed,step,relative_step,node_failure_active,tracking_rate,comm_connectivity,chain_closed,attack_window_rate,mean_message_age,mean_range,success,timeout,collision
multi_relation,1,16,310016,4,-36,0,0,0.666667,0,0,86.8333,23347.2,0,0,0
multi_relation,1,16,310016,5,-35,0,0,1,0,0,86.6667,22897.1,0,0,0
multi_relation,1,16,310016,6,-34,0,0,0.333333,0,0,87,22447,0,0,0
multi_relation,1,16,310016,7,-33,0,0,0.5,0,0,87.1667,21997.3,0,0,0
multi_relation,1,16,310016,8,-32,0,0,0.333333,0,0,87.3333,21547.9,0,0,0
multi_relation,1,16,310016,9,-31,0,0,0.666667,0,0,86.8333,21099.1,0,0,0
multi_relation,1,16,310016,10,-30,0,0,0.5,0,0,87.1667,20650.2,0,0,0
multi_relation,1,16,310016,11,-29,0,0,1,0,0,86.6667,20202,0,0,0
multi_relation,1,16,310016,12,-28,0,0,0.666667,0,0,86.8333,19753.8,0,0,0
multi_relation,1,16,310016,13,-27,0,0,0.666667,0,0,86.8333,19306.4,0,0,0
multi_relation,1,16,310016,14,-26,0,0,0.666667,0,0,87,18858.9,0,0,0
multi_relation,1,16,310016,15,-25,0,0,0.666667,0,0,86.8333,18412.2,0,0,0
multi_relation,1,16,310016,16,-24,0,0,0.666667,0,0,86.8333,17965.2,0,0,0
multi_relation,1,16,310016,17,-23,0,0.333333,0.166667,0,0,87.3333,17518.5,0,0,0
multi_relation,1,16,310016,18,-22,0,0.333333,0.666667,0,0,86.8333,17072.5,0,0,0
multi_relation,1,16,310016,19,-21,0,0.333333,1,0,0,43.3333,16627.4,0,0,0
multi_relation,1,16,310016,20,-20,0,0.333333,0.5,0,0,43.6667,16181.4,0,0,0
multi_relation,1,16,310016,21,-19,0,0.333333,0.666667,0,0,0.666667,15737.4,0,0,0
multi_relation,1,16,310016,22,-18,0,0.333333,0.5,0,0,1.33333,15292.8,0,0,0
multi_relation,1,16,310016,23,-17,0,0.333333,1,0,0,0.833333,14848.1,0,0,0
multi_relation,1,16,310016,24,-16,0,0.333333,1,0,0,0.333333,14403.6,0,0,0
multi_relation,1,16,310016,25,-15,0,0.333333,1,0,0,0.666667,13960.7,0,0,0
multi_relation,1,16,310016,26,-14,0,0.333333,0.666667,0,0,0.833333,13516.7,0,0,0
multi_relation,1,16,310016,27,-13,0,0.333333,1,0,0,0.333333,13074.8,0,0,0
multi_relation,1,16,310016,28,-12,0,0.333333,1,0,0,0.166667,12631.7,0,0,0
multi_relation,1,16,310016,29,-11,0,0.666667,1,0,0,0,12189.9,0,0,0
multi_relation,1,16,310016,30,-10,0,0.666667,1,0,0,0.166667,11747,0,0,0
multi_relation,1,16,310016,31,-9,0,0.666667,1,0,0,0.166667,11305.6,0,0,0
multi_relation,1,16,310016,32,-8,0,0.666667,1,0,0,0.5,10863,0,0,0
multi_relation,1,16,310016,33,-7,0,1,1,0,0,0.166667,10421.9,0,0,0
multi_relation,1,16,310016,34,-6,0,1,0.333333,0,0,0.666667,9979.58,0,0,0
multi_relation,1,16,310016,35,-5,0,1,1,0,0,0.5,9539.98,0,0,0
multi_relation,1,16,310016,36,-4,0,1,1,0,0,0.166667,9099.01,0,0,0
multi_relation,1,16,310016,37,-3,0,1,0.666667,0,0,0.333333,8660.12,0,0,0
multi_relation,1,16,310016,38,-2,0,1,1,0,0,0,8219.77,0,0,0
multi_relation,1,16,310016,39,-1,0,1,1,0,0,0.166667,7781.85,0,0,0
multi_relation,1,16,310016,40,0,1,1,0,0,0,1.16667,7342.41,0,0,0
multi_relation,1,16,310016,41,1,1,1,0.333333,0,0,1.5,6902.19,0,0,0
multi_relation,1,16,310016,42,2,1,1,0,0,0.333333,2.5,6463.83,0,0,0
multi_relation,1,16,310016,43,3,1,1,0.333333,0,0.333333,2.83333,6025.89,0,0,0
multi_relation,1,16,310016,44,4,1,1,0.166667,0,0.333333,3.66667,5590.55,0,0,0
multi_relation,1,16,310016,45,5,1,1,0.166667,1,0.333333,4.5,5156.1,1,0,0
